mid,det_lmin2,det_lmin8
2024.10.14startup_a,96.49122807017544,75.26603393730227
2024.10.14startup_a,96.3932333226939,74.40153207788063
2024.10.14startup_a,98.62292426083435,72.53948967193196
2024.10.14startup_a,98.33087874324988,65.93028964162984
2024.10.14startup_a,97.36547085201794,63.228699551569505
2024.10.14startup_a,97.92161520190024,64.90498812351544
2024.10.14startup_a,98.18087318087318,74.22037422037423
2024.10.14startup_a,98.76873661670236,68.52248394004283
2024.10.14startup_a,98.92984542211653,80.55885850178359
2024.10.14startup_a,99.12790697674419,84.06976744186046
2024.10.14startup_a,98.8342625443487,75.11403953370501
2024.10.14startup_a,99.34687953555878,88.89695210449928
2024.10.14startup_a,99.50132003520093,91.81578175418011
2024.10.14startup_a,99.61789166104742,94.44819060463026
2024.10.14startup_a,99.76363329393888,97.51814958635826
2024.10.14startup_a,99.92635145087642,98.30608337015761
2024.10.14startup_a,99.92635145087642,98.30608337015761
2024.10.14startup_a,99.97054058035057,99.54337899543378
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.94924716630013,99.10336660463543
2024.10.14startup_a,99.84072810011376,97.56541524459614
2024.10.14startup_a,99.46949602122015,90.18567639257294
2024.10.14startup_a,99.34234563390574,87.54110339788089
2024.10.14startup_a,99.30582337061318,88.08330119552642
2024.10.14startup_a,99.3920972644377,90.64505234718001
2024.10.14startup_a,99.02565768106528,85.80708022085092
2024.10.14startup_a,98.95253682487726,86.90671031096564
2024.10.14startup_a,99.39816281279695,89.3569844789357
2024.10.14startup_a,99.44846604619097,90.2102723198897
2024.10.14startup_a,99.30555555555556,88.99305555555556
2024.10.14startup_a,98.01573725624358,79.47314403010606
2024.10.14startup_a,98.36862200624783,75.42519958347796
2024.10.14startup_a,98.21865176388404,77.78553964373036
2024.10.14startup_a,97.83549783549783,77.39297739297739
2024.10.14startup_a,96.96811291165709,61.0559330893884
2024.10.14startup_a,95.14335868929199,44.35342305441779
2024.10.14startup_a,95.0792782941498,53.19846910880263
2024.10.14startup_a,97.94332723948811,63.89396709323583
2024.10.14startup_a,97.7810650887574,59.714003944773175
2024.10.14startup_a,96.875,43.35227272727273
2024.10.14startup_a,97.66734279918865,52.02839756592292
2024.10.14startup_a,98.1629769194536,53.8860103626943
2024.10.14startup_a,96.32595383890721,64.0131888836552
2024.10.14startup_a,99.22194922194922,81.08108108108108
2024.10.14startup_a,99.37578027465668,86.55846858094048
2024.10.14startup_a,99.3953488372093,88.23255813953489
2024.10.14startup_a,99.64381121994657,90.82813891362422
2024.10.14startup_a,99.6781979082864,92.59855189058729
2024.10.14startup_a,99.7639282341832,94.66477809254013
2024.10.14startup_a,99.69641772920461,91.49969641772921
2024.10.14startup_a,99.68414403032217,91.15603284902085
2024.10.14startup_a,99.75381585425899,93.74692269817824
2024.10.14startup_a,99.85920450545582,96.69130587821189
2024.10.14startup_a,99.74690663667042,92.40719910011249
2024.10.14startup_a,99.56599438345673,92.16236916007148
2024.10.14startup_a,97.37302977232925,89.89241931448586
2024.10.14startup_a,99.57158962795941,91.9052987598647
2024.10.14startup_a,99.57158962795941,91.9052987598647
2024.10.14startup_a,99.57158962795941,91.9052987598647
2024.10.14startup_a,99.57158962795941,91.9052987598647
2024.10.14startup_a,99.57158962795941,86.85456595264938
2024.10.14startup_a,99.74826935179358,98.04908747640025
2024.10.14startup_a,99.96849897621672,99.22822491730982
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.94465965688987,98.7825124515772
2024.10.14startup_a,99.92838386249701,98.42444497493435
2024.10.14startup_a,99.87680936248844,97.50538959039113
2024.10.14startup_a,99.76214746856948,94.39347604485219
2024.10.14startup_a,99.61554891072191,91.49935924818453
2024.10.14startup_a,98.36390679226574,81.65592464055528
2024.10.14startup_a,94.99736703528173,73.67035281727225
2024.10.14startup_a,98.46743295019157,81.11111111111111
2024.10.14startup_a,98.46743295019157,81.11111111111111
2024.10.14startup_a,98.46743295019157,81.30268199233717
2024.10.14startup_a,98.9268947015426,89.87256874580818
2024.10.14startup_a,99.32153392330383,94.74926253687316
2024.10.14startup_a,99.83072365636902,97.92636479052052
2024.10.14startup_a,99.919011945738,98.42073294189107
2024.10.14startup_a,99.83841181902123,97.53000923361034
2024.10.14startup_a,99.7610513739546,95.31063321385902
2024.10.14startup_a,99.49293734154291,88.88084027526259
2024.10.14startup_a,99.5072157690954,89.1939457937346
2024.10.14startup_a,99.45877109200892,89.84399872652021
2024.10.14startup_a,99.40224159402241,86.89912826899128
2024.10.14startup_a,99.56888105036253,90.26063100137175
2024.10.14startup_a,99.56888105036253,86.3413678228493
2024.10.14startup_a,99.77328547137729,93.29302852824485
2024.10.14startup_a,99.80095541401273,96.37738853503184
2024.10.14startup_a,99.65203426124197,92.50535331905782
2024.10.14startup_a,99.56199460916442,84.70350404312669
2024.10.14startup_a,99.18762088974854,82.90135396518376
2024.10.14startup_a,99.18762088974854,88.85880077369438
2024.10.14startup_a,99.18762088974854,88.85880077369438
2024.10.14startup_a,99.18762088974854,88.85880077369438
2024.10.14startup_a,97.68683274021352,84.03024911032028
2024.10.14startup_a,97.71227452705675,78.61856577210735
2024.10.14startup_a,97.78333929209867,55.3092599213443
2024.10.14startup_a,98.86678418534375,71.94661294384287
2024.10.14startup_a,99.14332021301227,73.41977309562398
2024.10.14startup_a,99.14332021301227,73.41977309562398
2024.10.14startup_a,98.78990731204944,58.625128733264674
2024.10.14startup_a,99.16427889207259,72.97039159503343
2024.10.14startup_a,99.42325581395349,75.05116279069767
2024.10.14startup_a,99.70568999345977,92.1190320470896
2024.10.14startup_a,99.82334992773406,95.7764573630962
2024.10.14startup_a,99.82334992773406,95.7764573630962
2024.10.14startup_a,99.76715027762852,95.16389038151532
2024.10.14startup_a,99.59331224582016,96.22684139177586
2024.10.14startup_a,98.99049881235155,91.8646080760095
2024.10.14startup_a,98.42411784857828,90.7845152449469
2024.10.14startup_a,95.73732718894009,84.63901689708142
2024.10.14startup_a,97.54224270353302,83.33333333333333
2024.10.14startup_a,97.54224270353302,83.33333333333333
2024.10.14startup_a,97.54224270353302,82.75729646697388
2024.10.14startup_a,99.8723268432812,97.6380466007022
2024.10.14startup_a,99.88779803646564,98.17671809256662
2024.10.14startup_a,99.83079526226734,95.86656997824511
2024.10.14startup_a,99.87265781335273,97.28943059850828
2024.10.14startup_a,99.91992312620116,97.75784753363229
2024.10.14startup_a,99.91992312620116,97.75784753363229
2024.10.14startup_a,99.91992312620116,97.75784753363229
2024.10.14startup_a,99.87497767458474,97.39239149848187
2024.10.14startup_a,99.664504585104,81.30172220979647
2024.10.14startup_a,99.82768523836876,96.63028910587785
2024.10.14startup_a,99.82768523836876,96.63028910587785
2024.10.14startup_a,99.71903535471786,95.57480683680637
2024.10.14startup_a,99.36729936729937,91.44189144189144
2024.10.14startup_a,95.82929194956353,81.61978661493696
2024.10.14startup_a,94.62915601023018,55.9462915601023
2024.10.14startup_a,95.43401906673357,79.02659307576518
2024.10.14startup_a,94.99263622974964,70.74128620520374
2024.10.14startup_a,94.99263622974964,70.74128620520374
2024.10.14startup_a,94.60080413555428,66.97300402067778
2024.10.14startup_a,96.21125143513203,81.66858017604287
2024.10.14startup_a,97.09532611565884,88.22286770530764
2024.10.14startup_a,99.5875073659399,94.28403064230996
2024.10.14startup_a,99.69702707820488,93.50501798901723
2024.10.14startup_a,99.90528808208366,98.12154696132596
2024.10.14startup_a,99.90528808208366,98.12154696132596
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.9859943977591,99.6078431372549
2024.10.14startup_a,99.97054058035057,99.54337899543378
2024.10.14startup_a,99.96169316222945,98.92740854242483
2024.10.14startup_a,99.33805067336225,85.98493494635927
2024.10.14startup_a,97.99587385794283,75.18420277040967
2024.10.14startup_a,96.58586548310004,76.34004779788323
2024.10.14startup_a,95.5660060463554,79.40880080618072
2024.10.14startup_a,95.13529948312556,82.39586500456066
2024.10.14startup_a,94.94688486936549,73.38501291989664
2024.10.14startup_a,94.96137050722204,70.50722203560632
2024.10.14startup_a,92.73624823695346,65.6558533145275
2024.10.14startup_a,97.28792179123305,82.02459791863765
2024.10.14startup_a,97.8596159899276,84.70254957507082
2024.10.14startup_a,98.54626782219738,88.64970645792563
2024.10.14startup_a,99.19803965248384,93.49521051459122
2024.10.14startup_a,99.14883827927306,92.27053140096618
2024.10.14startup_a,98.88586283733598,87.89304283238425
2024.10.14startup_a,97.96403121818798,76.82388870037326
2024.10.14startup_a,98.7513378523011,81.51980021405637
2024.10.14startup_a,98.27833572453372,67.47967479674797
2024.10.14startup_a,97.34075448361163,51.94805194805195
2024.10.14startup_a,97.5801913337085,46.70793472144063
2024.10.14startup_a,97.78830963665087,64.29699842022117
2024.10.14startup_a,98.1737686773658,68.23464305478694
2024.10.14startup_a,98.33147942157953,70.02224694104561
2024.10.14startup_a,99.2576882290562,76.88229056203606
2024.10.14startup_a,99.48674080410608,91.78785286569718
2024.10.14startup_a,99.07658881042912,72.1890277023357
2024.10.14startup_a,98.72685185185185,71.4699074074074
2024.10.14startup_a,98.17780231916069,75.20706791827719
2024.10.14startup_a,98.05730937348227,54.34677027683342
2024.10.14startup_a,98.3969825553984,66.14804337576615
2024.10.14startup_a,98.50942569048662,74.83559842174485
2024.10.14startup_a,98.56144677353062,81.70982326346075
2024.10.14startup_a,99.03198653198653,86.7003367003367
2024.10.14startup_a,99.12087912087912,85.27472527472527
2024.10.14startup_a,99.11792014856081,86.1652739090065
2024.10.14startup_a,99.29966826391448,84.74014006634722
2024.10.14startup_a,99.39003727549984,86.00474415452389
2024.10.14startup_a,99.32013006207508,84.65858705291161
2024.10.14startup_a,99.46792787466745,87.79190067986994
2024.10.14startup_a,99.42713927676334,89.83172216254923
2024.10.14startup_a,99.39872228485532,84.59225854941751
2024.10.14startup_a,99.27404718693285,80.35390199637024
2024.10.14startup_a,99.56896551724138,88.1896551724138
2024.10.14startup_a,99.55645161290323,88.34677419354838
