second,entropy_g,det_g,rmse_g
132,-0.0,99.61432506887053,0.5818889188513406
133,-0.0,99.61432506887053,0.5764754293815265
134,-0.0,99.61432506887053,0.5708621699415338
135,-0.0,99.61432506887053,0.5650710971894594
136,-0.0,99.61432506887053,0.5591227667155954
137,-0.0,99.61432506887053,0.5530364144970612
138,-0.0,99.61432506887053,0.5468884171058696
139,-0.0,99.61432506887053,0.5407808663609459
140,-0.0,99.61432506887053,0.5347756194415393
141,-0.0,99.61432506887053,0.5288989642828366
142,-0.0,99.61432506887053,0.5231500624971442
143,-0.0,99.61432506887053,0.5175247930079278
144,-0.0,99.61432506887053,0.512019210103581
145,-0.0,99.61432506887053,0.506629534207748
146,-0.0,99.61432506887053,0.5013521432264114
147,-0.0,99.61432506887053,0.49618356443025924
148,-0.0,99.61432506887053,0.49112046683402577
149,-0.0,99.61432506887053,0.4861596540377132
150,-0.0,99.61432506887053,0.48129805749733345
151,-0.0,99.61432506887053,0.4765327301953759
152,-0.0,99.61432506887053,0.47186084068365197
153,-0.0,99.61432506887053,0.467279667473127
154,-0.0,99.61432506887053,0.46278659374741654
155,-0.0,99.61432506887053,0.4583791023783901
156,-0.0,99.61432506887053,0.4540547712238717
157,-0.0,99.61432506887053,0.4498112686890634
158,-0.0,99.61432506887053,0.44564634953453025
159,-0.0,99.61432506887053,0.4415578509149456
160,-0.0,99.61432506887053,0.4375436886338973
161,-0.0,99.61432506887053,0.4336018536011493
162,-0.0,99.61432506887053,0.42973040847970584
163,-0.0,99.61432506887053,0.42592748451085344
164,-0.0,99.61432506887053,0.4221912785063738
165,-0.0,99.61432506887053,0.41852004999761316
166,-0.0,99.61432506887053,0.41491211853211774
167,-0.0,99.61432506887053,0.41136586110875556
168,-0.0,99.61432506887053,0.40787970974342885
169,-0.0,99.61432506887053,0.40445214915733896
170,-0.0,99.61432506887053,0.4010817145810277
171,-0.0,99.61432506887053,0.3977669896671357
172,-0.0,99.61432506887053,0.3945066045059234
173,-0.0,99.61432506887053,0.3912992337375724
174,-0.0,99.61432506887053,0.3881435947558201
175,-0.0,99.61432506887053,0.3850384459977674
176,-0.0,99.61432506887053,0.38198258531524504
177,-0.0,99.61432506887053,0.3789748484229874
178,-0.0,99.61432506887053,0.3760141074196807
179,-0.0,99.61432506887053,0.373099269377664
180,-0.0,99.61432506887053,0.37022927499782826
181,-0.0,99.61432506887053,0.3674030973260925
182,-0.0,99.61432506887053,0.3646197405281582
183,-0.0,99.61432506887053,0.36187823871967145
184,-0.0,99.61432506887053,0.35917765484862507
185,-0.0,99.61432506887053,0.3565170796275253
186,-0.0,99.61432506887053,0.35389563051261336
187,-0.0,99.61432506887053,0.3513124507278462
188,-0.0,99.61432506887053,0.34876670833125717
189,-0.0,99.61432506887053,0.3462575953216769
190,-0.0,99.61432506887053,0.3437843267836654
191,-0.0,99.61432506887053,0.34134614006888164
192,-0.0,99.61432506887053,0.3389422940120595
193,-0.0,99.61432506887053,0.3365720681797978
194,-0.0,99.61432506887053,0.33423476215077397
195,-0.0,99.61432506887053,0.33192969482559237
196,-0.0,99.61432506887053,0.32965620376513854
197,-0.0,99.61432506887053,0.32741364455584954
198,-0.0,99.61432506887053,0.32520139020073474
199,-0.0,99.61432506887053,0.32301883053495134
200,-0.0,99.61432506887053,0.32086537166472207
201,-0.0,99.61432506887053,0.31874043542852615
202,-0.0,99.61432506887053,0.31664345887965206
203,-0.0,99.61432506887053,0.31457389378893197
204,-0.0,99.61432506887053,0.3125312061669234
205,-0.0,99.61432506887053,0.31051487580454984
206,-0.0,99.61432506887053,0.3085243958314435
207,-0.0,99.61432506887053,0.3065592722911106
208,-0.0,99.61432506887053,0.30461902373230304
209,-0.0,99.61432506887053,0.302703180815743
210,-0.0,99.61432506887053,0.30081128593564005
211,-0.0,99.61432506887053,0.29894289285529396
212,-0.0,99.61432506887053,0.2970975663561845
213,-0.0,99.61432506887053,0.29527488190000606
214,-0.0,99.61432506887053,0.2934744253030527
215,-0.0,99.61432506887053,0.29169579242243193
216,-0.0,99.61432506887053,0.28993858885363144
217,-0.0,99.61432506887053,0.28820242963894455
218,-0.0,99.61432506887053,0.28648693898634026
219,-0.0,99.61432506887053,0.28479174999826423
220,-0.0,99.61432506887053,0.2831165044100472
221,-0.0,99.61432506887053,0.28146085233748325
222,-0.0,99.61432506887053,0.2798244520331976
223,-0.0,99.61432506887053,0.27820696965151537
224,-0.0,99.61432506887053,0.27660807902133827
225,-0.0,99.61432506887053,0.27502746142693896
226,-0.0,99.61432506887053,0.27346480539611123
227,-0.0,99.61432506887053,0.2719198064955761
228,-0.0,99.61432506887053,0.27039216713324693
229,-0.0,99.61432506887053,0.26888159636715026
230,-0.0,99.61432506887053,0.2673878097206725
231,-0.0,99.61432506887053,0.2659105290039903
232,-0.0,99.61432506887053,0.2644494821413391
233,-0.0,99.61432506887053,0.2630044030039627
234,-0.0,99.61432506887053,0.2615750312485133
235,-0.0,99.61432506887053,0.26016111216068927
236,-0.0,99.61432506887053,0.25876239650392024
237,-0.0,99.61432506887053,0.2573786403728904
238,-0.0,99.61432506887053,0.25600960505176
239,-0.0,99.61432506887053,0.2546550568768938
240,-0.0,99.61432506887053,0.2533147671038605
241,-0.0,99.61432506887053,0.25198851177871834
242,-0.0,99.61432506887053,0.25067607161321215
243,-0.0,99.61432506887053,0.24937723186392616
244,-0.0,99.61432506887053,0.24809178221514996
245,-0.0,99.61432506887053,0.24681951666533886
246,-0.0,99.61432506887053,0.24556023341705074
247,-0.0,99.61432506887053,0.24431373477027174
248,-0.0,99.61432506887053,0.2430798270189118
249,-0.0,99.61432506887053,0.24185832035048263
250,-0.0,99.61432506887053,0.24064902874873303
251,-0.0,99.61432506887053,0.239451769899246
252,-0.0,99.61432506887053,0.23826636509777052
253,-0.0,99.61432506887053,0.2370926391613337
254,-0.0,99.61432506887053,0.2359304203419245
255,-0.0,99.61432506887053,0.23477954024269956
256,-0.0,99.61432506887053,0.2336398337366732
257,-0.0,99.61432506887053,0.23251113888771474
258,-0.0,99.61432506887053,0.23139329687383145
259,-0.0,99.61432506887053,0.22998163117934559
260,-0.0,99.61432506887053,0.22627175195064014
261,-0.0,99.61432506887053,0.21983583999634734
262,-0.0,99.61432506887053,0.21545028661073118
263,-0.0,99.61432506887053,0.2178120500646944
264,-0.0,99.61432506887053,0.22613775304914166
265,-0.0,99.61432506887053,0.24817971663939364
266,-0.0,99.61432506887053,0.29451364076163145
267,-0.0,99.61432506887053,1.021260420572967
268,-0.0,99.61432506887053,1.7504932844572132
269,-0.0,99.61432506887053,2.32011271854867
270,-0.0,99.61432506887053,2.837580490740349
271,-0.0,99.61432506887053,3.315641722357448
272,-0.0,99.61432506887053,3.7614742547341806
273,-0.0,99.61432506887053,4.187763257771458
274,-0.0,99.61432506887053,4.602354317395206
275,-0.0,99.61432506887053,5.018055818031241
276,-0.0,99.61432506887053,5.442055975072814
277,-0.0,99.61432506887053,5.903872393396393
278,-0.0,99.61432506887053,6.4132056142495335
279,1.3810876425130094,99.6078431372549,7.123322797454588
280,3.3513527906388765,99.5511149724877,8.16224202901467
281,4.966448892725745,99.4311377245509,9.51674176463715
282,6.377108370420191,99.24172082946457,10.947242819716733
283,8.389867841285003,99.10313901345292,12.45291319079113
284,10.326941441380152,99.02090939263192,14.06150109047161
285,11.908258016881739,98.86519944979368,15.616132335099612
286,13.284528772251832,98.6284289276808,17.118297936625392
287,13.284528772251832,94.90559315995725,
288,13.915152455418687,92.87527193618564,
289,15.083242390327408,92.41457003379647,
290,16.21818498087662,91.90818906827465,
291,18.116217779910862,91.53706321955161,
292,19.993882605293756,91.25866778735029,
293,22.111262837173886,90.96477794793262,
294,23.969052234897795,90.65420560747664,
295,25.4694992105494,90.23984801709808,
296,26.851195391994857,89.75501113585746,
297,27.801976001308265,88.91745950115711,
298,28.66812673995969,87.9305740987984,
299,29.07257715192937,85.2013057671382,
300,29.07257715192937,81.14798694232861,
301,29.07257715192937,76.98585418933624,
302,30.366195451370878,74.61731143890898,
303,31.326362132876977,72.20956719817768,
304,31.70727880126912,69.48070786190891,
305,32.89777498321857,68.27940731781071,
306,34.319487793170694,67.26812282367838,
307,35.41809282792931,66.02712537214687,
308,36.192710027241645,64.40619621342513,
309,36.80380162897437,62.47768654052124,
310,37.35596672916965,60.36968576709797,
311,37.8527819361062,58.42567825754681,
312,38.29716377077986,56.28695309420576,
313,38.69150862467554,54.44219066937119,
314,39.03779305870284,52.64473136193253,
315,39.33764716814938,50.91684434968017,
316,39.5924090608293,49.28167174575533,
317,39.80316569361222,47.76251661497563,
318,39.97078356876101,46.38202247191011,
319,40.09593166753614,45.16129032258065,
320,40.17909824870181,44.11899313501144,
321,40.220602620627616,43.27055581074874,
322,40.220602620627616,42.62746899402848,
323,40.17909824870181,42.19679633867277,
324,40.09593166753614,41.98091776465243,
325,39.97078356876101,41.97752808988764,
326,39.80316569361222,42.17988480283562,
327,39.5924090608293,42.57727470613844,
328,39.33764716814938,43.15565031982943,
329,39.03779305870284,43.89837567680133,
330,38.69150862467554,44.78701825557809,
331,38.29716377077986,45.80212849822625,
332,37.8527819361062,46.9239587313718,
333,37.35596672916965,48.13308687615527,
334,36.80380162897437,49.4109246697608,
335,36.192710027241645,50.74010327022375,27.08718165474169
336,35.51825473223711,52.53563142194233,28.46591598922581
337,34.77484109931341,54.19190309212623,30.158703778476518
