second,entropy_g,det_g,rmse_g
109,13.496543788700492,97.98234552332913,
110,13.496543788700492,88.95018915510718,
111,13.496543788700492,92.33921815889029,
112,13.496543788700492,95.79129886506935,
113,13.496543788700492,99.30643127364439,
114,11.005811529372666,99.4666260286498,
115,8.085338710459396,99.55804360636417,
116,4.049349277294945,99.58701224722302,
117,-0.0,99.61432506887053,
118,-0.0,99.61432506887053,
119,-0.0,99.61432506887053,
120,-0.0,99.61432506887053,
121,-0.0,99.61432506887053,
122,2.3018127375216824,99.6078431372549,
123,5.585587984398128,99.5511149724877,
124,8.277414821209574,99.4311377245509,
125,10.628513950700318,99.24172082946457,
126,12.735365131348061,99.10428662827896,
127,14.649899564050445,99.07438016528926,5.907717227337421
128,16.404651553922076,99.04371584699453,6.0433804709037435
129,18.021907601211858,99.01234567901234,6.230708775083751
130,19.517865763718063,98.98033503277495,6.42629155607238
131,20.904805529946355,98.94776399849681,6.639040829925486
132,22.19233246677672,98.91472868217055,6.790577502937641
133,23.388143800998417,98.88134238913304,7.311410445471958
134,24.498525315875156,98.8477366255144,8.279487897339308
135,25.023343318765146,96.86847599164926,9.609547822002806
136,25.023343318765146,93.0062630480167,10.912859445231229
137,25.023343318765146,89.22755741127348,11.649549282750321
138,25.023343318765146,85.53235908141963,12.777464516125224
139,25.023343318765146,97.07724425887265,13.448294113234283
140,25.023343318765146,97.07724425887265,14.480522251044983
141,27.228558396931025,97.01873935264055,15.556229532460463
142,31.07529451275823,96.875,16.64642812188358
143,34.90474941291648,96.72206832871653,17.747487364984256
144,36.53739495387001,94.55702167766258,19.881573600572178
145,37.95761683093991,92.35209235209236,20.907369448966158
146,40.41394205502488,91.95891783567134,22.26352981927607
147,43.66572466138147,91.58829676071055,23.897654989022683
148,46.28106617230619,91.14441416893733,25.732104945284277
149,48.12326348060268,90.46538024971623,27.609744325432157
150,50.34035193285539,89.84606275902901,29.444638988546846
151,51.88817920276245,88.909426987061,31.397009354332432
152,53.28198720965437,87.79628443305573,32.62057712750481
153,53.28198720965437,83.27994875080077,33.11717047259602
154,53.68744902000031,80.09756097560975,33.40360103155269
155,54.438319822513485,78.0046869768999,25.754808501328878
156,56.86768317170985,76.50330205074731,18.25931527845775
157,59.70661547332403,75.62841530054645,16.252883405176657
158,61.94334135253832,74.58985120183137,16.46077164700591
159,63.828583414904266,73.37325349301398,18.597614326678766
