mid,team,date,event_id,onset_s,window_s,label,l10_stage,entropy_slope,det_slope,switch_rate,turnlen_trend,question_density,gap_trend
2024.10.14startup_a,startup_a,20241014,5,553.0,30,1,scorecard,0.8786751286532156,-0.552626857009341,,,,
2024.10.14startup_a,startup_a,20241014,5,759.0,30,0,scorecard,0.1956836185185197,-0.52259050853171,2.0,,0.5,
2024.10.14startup_a,startup_a,20241014,5,798.0,30,0,scorecard,-0.614955355839626,-0.03721309180435546,12.0,-0.42857142857142827,0.14285714285714285,-0.01428571428571437
2024.10.14startup_a,startup_a,20241014,5,779.0,30,0,scorecard,0.045749969012608895,-0.2105969267513683,8.0,-4.599999999999999,0.4,
2024.10.14startup_a,startup_a,20241014,6,609.0,30,1,scorecard,-0.08854525989657175,0.6640702810487861,4.0,,1.0,
2024.10.14startup_a,startup_a,20241014,6,789.0,30,0,scorecard,-0.12274301337100053,-0.708895540803458,8.0,0.4000000000000005,0.4,
2024.10.14startup_a,startup_a,20241014,6,797.0,30,0,scorecard,-0.5635052017668376,-0.11473178501911356,12.0,-0.42857142857142827,0.14285714285714285,-0.01428571428571437
2024.10.14startup_a,startup_a,20241014,6,713.0,30,0,scorecard,-0.17984459774299036,0.08500003573954977,,,,
2024.10.14startup_a,startup_a,20241014,7,927.0,30,1,rock_review,-0.122868780358286,0.12505327993031273,,,,
2024.10.14startup_a,startup_a,20241014,7,828.0,30,0,rock_review,0.2530341996392678,-0.30505184036882965,8.0,6.4,0.2,
2024.10.14startup_a,startup_a,20241014,7,810.0,30,0,rock_review,-0.5644401479794656,0.5967906736918717,10.0,0.9999999999999993,0.0,-0.09999999999999987
2024.10.14startup_a,startup_a,20241014,7,815.0,30,0,rock_review,-0.24977356453509755,0.543505221021492,14.0,3.2499999999999996,0.125,-0.10714285714285691
2024.10.14startup_a,startup_a,20241014,8,966.0,30,1,rock_review,0.6864587382465336,-0.5143387918325639,4.0,,0.3333333333333333,
2024.10.14startup_a,startup_a,20241014,8,829.0,30,0,rock_review,0.23484342835239932,-0.2527534336163753,8.0,6.4,0.2,
2024.10.14startup_a,startup_a,20241014,8,813.0,30,0,rock_review,-0.38982091578705835,0.6338651309982166,12.0,0.4999999999999987,0.0,-0.24285714285714272
2024.10.14startup_a,startup_a,20241014,8,821.0,30,0,rock_review,0.16585837117677457,-0.23143298469020868,14.0,3.2499999999999996,0.125,-0.10714285714285691
2024.10.14startup_a,startup_a,20241014,9,1029.0,30,1,headlines,-0.12217203594507797,-0.18055336743505965,8.0,5.500000000000001,0.2,
2024.10.14startup_a,startup_a,20241014,9,5390.0,30,0,conclude,-0.5227902010851875,0.0247789779381428,6.0,,0.5,
2024.10.14startup_a,startup_a,20241014,9,1134.0,30,0,todo,-0.23718682408127242,0.15046367450042433,4.0,,0.6666666666666666,
2024.10.14startup_a,startup_a,20241014,9,2597.0,30,0,ids,-0.587170946952353,0.11019750013060431,2.0,,0.5,
2024.10.14startup_a,startup_a,20241014,10,1413.0,30,1,ids,0.3031712391369605,-0.24261078995408905,8.0,-2.500000000000001,0.2,
2024.10.14startup_a,startup_a,20241014,10,3481.0,30,0,ids,0.5029199660211697,-0.5031559449516434,,,,
2024.10.14startup_a,startup_a,20241014,10,3189.0,30,0,ids,0.24651578722573722,0.030217464116014926,,,,
2024.10.14startup_a,startup_a,20241014,10,4593.0,30,0,ids,-0.21951957885748963,0.31404191493417805,10.0,2.4285714285714284,0.3333333333333333,-1.199999999999999
2024.10.14startup_a,startup_a,20241014,11,1744.0,30,1,ids,-0.16501183148168974,0.3549247149316954,12.0,11.249999999999998,0.14285714285714285,-0.5000000000000002
2024.10.14startup_a,startup_a,20241014,11,4125.0,30,0,ids,0.1198560279343235,-0.006510069114677381,2.0,,1.0,
