mid,team,date,event_onset_s,event_class,depth,init_primary,init_floor,init_question,leader,leader_primary,leader_floor,leader_question,week
2024.11.11startup_a,startup_a,20241111,156.0,TRANSITION,8.676512083382413,S3,S3,S3,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,263.0,INTERIOR_OTHER,7.075222487505364,S3,S3,S3,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,336.0,TRANSITION,8.687457180048149,S3,S1,S3,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,766.0,TRANSITION,7.713972446663725,S3,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,799.0,INTERIOR_OTHER,15.699511320858349,S1,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,812.0,INTERIOR_OTHER,20.29011832444396,S1,S1,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,1357.0,INTERIOR_OTHER,4.650276809923561,S2,S3,,S2,1,0,,3
2024.11.11startup_a,startup_a,20241111,1414.0,INTERIOR_OTHER,7.254405785358209,S1,S1,S1,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,1555.0,INTERIOR_OTHER,2.1509131917997237,S1,S4,S1,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,2020.0,INTERIOR_HANDOFF,10.932474191883905,S1,S3,S1,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,2137.0,INTERIOR_HANDOFF,11.483485744326842,S1,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,2204.0,INTERIOR_OTHER,20.47013959567454,S4,S4,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,2219.0,INTERIOR_OTHER,3.5485040415800313,S2,S4,S3,S2,1,0,0.0,3
2024.11.11startup_a,startup_a,20241111,2348.0,TRANSITION,8.890371693497919,S4,S4,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,2407.0,INTERIOR_OTHER,12.589205161256167,S1,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,2896.0,INTERIOR_OTHER,-5.442608766369229,S3,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,3016.0,INTERIOR_HANDOFF,19.352725151204943,S2,S3,,S2,1,0,,3
2024.11.11startup_a,startup_a,20241111,3036.0,INTERIOR_HANDOFF,15.989455527151158,S3,S1,S1,S2,0,0,0.0,3
2024.11.11startup_a,startup_a,20241111,3159.0,TRANSITION,13.194328932902572,S1,S1,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,3411.0,TRANSITION,27.277728088127937,S3,S4,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,3453.0,TRANSITION,25.27766653265214,S3,S3,,S2,0,0,,3
2024.11.11startup_a,startup_a,20241111,4434.0,TRANSITION,18.10659157891351,S3,S3,S4,S2,0,0,0.0,3
2024.11.18startup_a,startup_a,20241118,70.0,INTERIOR_OTHER,6.637729523833961,S2,S2,,S2,1,1,,4
2024.11.18startup_a,startup_a,20241118,110.0,INTERIOR_OTHER,11.949518539340168,S4,S4,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,1491.0,INTERIOR_OTHER,13.519287343652287,S4,S4,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,1512.0,TRANSITION,15.389820453777524,S1,S4,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,1553.0,TRANSITION,14.26430533838387,S4,S1,S4,S2,0,0,0.0,4
2024.11.18startup_a,startup_a,20241118,2278.0,INTERIOR_OTHER,17.928110450147038,S4,S1,S1,S2,0,0,0.0,4
2024.11.18startup_a,startup_a,20241118,2942.0,INTERIOR_OTHER,13.25479504135864,S4,S1,S4,S2,0,0,0.0,4
2024.11.18startup_a,startup_a,20241118,3103.0,INTERIOR_OTHER,31.393306029816912,S4,S4,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,3161.0,TRANSITION,12.387943511748894,S1,S1,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,3307.0,INTERIOR_OTHER,8.090901434193391,S2,S2,S1,S2,1,1,0.0,4
2024.11.18startup_a,startup_a,20241118,3639.0,INTERIOR_OTHER,18.120717269707505,S1,S1,,S2,0,0,,4
2024.11.18startup_a,startup_a,20241118,3673.0,TRANSITION,24.723941626797163,S1,S2,,S2,0,1,,4
2024.11.18startup_a,startup_a,20241118,3840.0,INTERIOR_OTHER,11.237831041563318,S1,S2,,S2,0,1,,4
2024.11.18startup_a,startup_a,20241118,4298.0,INTERIOR_OTHER,3.058462473439306,S2,S2,,S2,1,1,,4
2024.11.18startup_a,startup_a,20241118,4447.0,TRANSITION,14.63633393933111,S2,S1,S1,S2,1,0,0.0,4
2024.11.18startup_a,startup_a,20241118,4600.0,TRANSITION,20.558077826890887,S1,S1,S1,S2,0,0,0.0,4
2024.11.18startup_a,startup_a,20241118,4928.0,INTERIOR_HANDOFF,16.735060045498507,S2,S1,S1,S2,1,0,0.0,4
2024.11.18startup_a,startup_a,20241118,5113.0,INTERIOR_HANDOFF,11.187868516415286,S2,S1,S1,S2,1,0,0.0,4
2024.11.18startup_a,startup_a,20241118,5134.0,INTERIOR_HANDOFF,10.643741416581157,S2,S2,,S2,1,1,,4
2024.11.18startup_a,startup_a,20241118,5182.0,TRANSITION,19.76956843541955,S3,S3,S3,S2,0,0,0.0,4
2024.11.18startup_a,startup_a,20241118,5328.0,TRANSITION,3.191594567541138,S1,S2,,S2,0,1,,4
2024.12.09startup_a,startup_a,20241209,469.0,TRANSITION,20.82468912350788,S3,S2,S3,S2,0,1,0.0,5
2024.12.09startup_a,startup_a,20241209,721.0,INTERIOR_OTHER,8.175884175024137,S1,S2,S2,S2,0,1,1.0,5
2024.12.09startup_a,startup_a,20241209,809.0,TRANSITION,12.511465963260221,S1,S1,S1,S2,0,0,0.0,5
2024.12.09startup_a,startup_a,20241209,894.0,TRANSITION,23.546363914937984,S2,S1,S3,S2,1,0,0.0,5
2024.12.09startup_a,startup_a,20241209,922.0,INTERIOR_OTHER,7.4466137196763285,S1,S1,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,984.0,TRANSITION,-1.433235384023405,S2,S1,,S2,1,0,,5
2024.12.09startup_a,startup_a,20241209,1058.0,TRANSITION,16.23116371309532,S1,S2,S1,S2,0,1,0.0,5
2024.12.09startup_a,startup_a,20241209,1242.0,TRANSITION,17.887267134785922,S1,S1,S2,S2,0,0,1.0,5
2024.12.09startup_a,startup_a,20241209,1386.0,INTERIOR_HANDOFF,12.715792197428215,S2,S3,S3,S2,1,0,0.0,5
2024.12.09startup_a,startup_a,20241209,1502.0,INTERIOR_OTHER,20.103282710294494,S4,S4,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,1675.0,INTERIOR_OTHER,10.040107241242183,S3,S3,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,1813.0,TRANSITION,18.337369667343218,S4,S1,,S2,0,0,,5
2024.12.09startup_a,startup_a,20241209,2676.0,TRANSITION,14.106918582151195,S1,S1,S2,S2,0,0,1.0,5
2024.12.09startup_a,startup_a,20241209,2860.0,INTERIOR_HANDOFF,4.959030839034817,S1,S1,,S2,0,0,,5
