mid,date,team,BORDER_n,BORDER_rate,BORDER_peak_z,BORDER_ent_exc,BORDER_det_exc,BORDER_ent_abs,INTERIOR_n,INTERIOR_rate,INTERIOR_peak_z,INTERIOR_ent_exc,INTERIOR_det_exc,INTERIOR_ent_abs,base_ent,base_det,week
2025.02.24startup_a,20250224,startup_a,9,10.77414205905826,3.4898581706906477,10.940006184665794,-16.499523108273003,43.4322011177001,16,19.154030327214684,3.0170460751317956,15.621978645811051,-13.338587439789285,48.11417357884536,32.492194933034305,83.38642896516265,10
2025.03.02startup_a,20250302,startup_a,12,13.988731299786284,3.335783758094541,12.609808349666437,-20.088818178295217,40.42733741191166,12,13.988731299786284,3.512712222664069,11.208124319654774,-10.473254498763813,39.02565338189999,27.817529062245224,87.9717588637158,11
2025.03.17startup_a,20250317,startup_a,14,16.266460108443066,3.3399517189537486,15.29630683737834,-16.10039728280046,44.97493405014894,7,8.133230054221533,3.8075359670027447,14.327077855564653,-17.969758708759038,44.00570506833525,29.678627212770596,86.88123904006164,12
2025.03.25startup_a,20250325,startup_a,18,21.54398563734291,3.27253395163847,14.008050485511486,-10.917630610750813,42.448821323650776,15,17.953321364452425,3.3583994731439186,8.20483585966438,-11.895912130373965,36.645606697803686,28.4407708381393,88.58697267517401,13
2025.03.31startup_a,20250331,startup_a,9,10.739856801909308,3.3933888513294974,13.570080522923238,-14.508496731760468,44.87234424299661,13,15.513126491646778,3.206152115732076,5.519701998306151,-6.289148799649656,36.82196571837953,31.302263720073377,85.84577759330281,14
2025.04.07startup_a,20250407,startup_a,17,17.55593803786575,3.2354763916420133,17.599851328264375,-18.445866758279024,52.81287254179346,19,19.62134251290878,3.0320123795586302,19.345851402920353,-17.526196398345313,54.558872616449435,35.21302121352908,83.73517285557371,15
2025.04.14startup_a,20250414,startup_a,9,8.791924454575058,4.183978725278117,21.86671005274214,-18.54947486619024,55.337550375706215,16,15.630087919244547,2.9644036143589148,16.16899496094836,-10.70190312109619,49.63983528391243,33.47084032296407,88.41259041597289,16
2024.10.14startup_b,20241014,startup_b,24,24.226110363391655,3.2037577505700163,17.165842158350824,-19.420389988410403,59.50807837624006,11,11.103633916554509,3.3330280067752596,14.349550640589785,-6.659682353745631,56.69178685847901,42.34223621788923,71.05726989503887,0
2024.10.28startup_b,20241028,startup_b,22,24.830699774266368,3.000214937983344,12.27656875328965,-12.627375378657923,46.39995737497862,13,14.672686230248308,2.994144948560318,9.421542754823825,-10.524584658053207,43.54493137651279,34.12338862168896,81.42593830539244,1
2024.11.04startup_b,20241104,startup_b,12,14.652014652014651,3.2173003788776526,5.872008499267715,-14.545647499363744,44.237219651299434,13,15.873015873015872,2.9211928124839064,6.865021558187778,-5.107889823083784,45.23023271021951,38.365211152031726,81.0171312983912,2
2024.11.11startup_b,20241111,startup_b,20,21.998166819431713,3.212082602260373,18.47337605044304,-25.21956133699008,56.70558209512054,10,10.999083409715857,2.8354065174618888,19.757061169593207,-16.929895308903593,57.98926721427072,38.23220604467751,77.86977966829913,3
2024.11.18startup_b,20241118,startup_b,11,12.621916236374068,3.4036226765903788,14.12404452966682,-23.316837701642818,48.766113394245515,15,17.21170395869191,3.033479742385174,15.61721256822391,-13.65173885427176,50.25928143280261,34.642068864578704,81.86124198023693,4
2024.12.02startup_b,20241202,startup_b,18,20.35431586882774,3.149358864745975,6.658441990032125,-7.8279695027158676,56.921921738977645,7,7.915567282321899,3.093626203235573,5.852338868651558,-1.1436106846100327,56.11581861759709,50.26347974894553,56.30064613763844,5
2024.12.16startup_b,20241216,startup_b,18,20.873598763045997,3.009065332714828,14.652231524304508,-23.45579134643144,54.25680328369985,12,13.915732508697333,3.1990642911377383,9.685843729979158,-12.804766581050986,49.29041548937451,39.60457175939535,77.30137314594583,6
2024.12.23startup_b,20241223,startup_b,17,18.88189559422436,3.1915154818146725,11.932546439913127,-11.328163627353364,44.51408538275998,13,14.439096630877453,3.134178839485204,11.865101424597633,-20.011673467697626,44.44664036744449,32.58153894284685,80.94549772557113,7
2025.01.06startup_b,20250106,startup_b,21,21.928297946397493,3.1573739208424145,17.9439587608577,-23.49226247204811,60.04944049842388,12,12.530455969369998,3.3689511476699803,16.36786073605674,-17.27943481287573,58.47334247362293,42.10548173756619,84.39087676668892,8
2025.01.13startup_b,20250113,startup_b,18,19.484033916651633,3.7018493889201434,15.346616647414972,-22.790683292142607,44.309131473216254,9,9.742016958325816,3.2499244951193185,16.89773111900044,-17.077167232475365,45.860245944801726,28.962514825801282,85.16660431505255,9
2025.02.10startup_b,20250210,startup_b,11,12.452830188679245,3.707843571504345,13.01439315738577,-19.675123701453824,61.044682136093236,8,9.056603773584905,3.2248565615744478,9.666159915744668,-19.188920694873843,57.69644889445213,48.03028897870747,80.11037736666113,10
2025.02.24startup_b,20250224,startup_b,9,10.75268817204301,4.510458231895605,15.674808392101902,-21.41449105191094,47.264495441533356,7,8.363201911589009,2.909879125221638,13.477476339275503,-13.69371471493846,45.06716338870696,31.589687049431458,85.63039055000502,11
2025.03.17startup_b,20250317,startup_b,13,12.518054886856042,3.7316446994676893,16.840559125278936,-19.783659264705314,53.962823145524716,10,9.629272989889264,3.3689086786869096,20.04719915993038,-15.05765094130361,57.16946318017616,37.12226402024578,75.53322807184412,12
2025.03.24startup_b,20250324,startup_b,13,15.110422316931423,3.2773224343598093,15.90800547419944,-15.944986846744042,55.861181922447855,14,16.272762495156915,3.1939638835947974,8.297590994115259,-7.145012620540031,48.25076744236368,39.95317644824841,73.96877116211618,13
2025.03.31startup_b,20250331,startup_b,15,14.457831325301205,3.1599453317752006,15.791811416282378,-17.555786658577304,42.701798941864844,26,25.06024096385542,3.0888735974316464,15.557985414692277,-18.52687940446179,42.467972940274755,26.90998752558247,88.2248310965464,14
2025.04.07startup_b,20250407,startup_b,18,16.922594797869007,2.8357472684224136,13.675149160098435,-16.193987122827238,54.94985126989505,18,16.922594797869007,3.056399880333082,-0.8189199361780237,-3.888127544701414,40.45578217361859,41.274702109796614,72.97985465867065,15
2025.04.14startup_b,20250414,startup_b,16,18.79404855129209,3.3188437147103147,18.695195067473975,-25.273306179302338,49.50216008798364,10,11.746280344557556,3.3082303354649385,14.278371402117747,-15.100008906302634,45.085336422627414,30.80696502050967,86.91516342951049,16
