mid,bin,entropy_g,det_g,rmse_g,turn_len,power,achievement,affiliation,reward,risk,insight,cause,discrep,tentative,certainty,differ,cogproc(all),posemo,negemo,social,pron_I,pron_we,pron_you,interrog,assent,nonfluency,filler,focuspast,focuspresent,focusfuture
2024.11.11startup_a,1440,47.030648904469174,74.16216025683772,7.9111800622801915,23.5,0.005319148936170213,0.010638297872340425,0.047872340425531915,0.02127659574468085,0.02127659574468085,0.05319148936170213,0.03723404255319149,0.0425531914893617,0.026595744680851064,0.031914893617021274,0.05319148936170213,0.22872340425531915,0.010638297872340425,0.0,0.12234042553191489,0.02127659574468085,0.005319148936170213,0.005319148936170213,0.0425531914893617,0.0,0.026595744680851064,0.026595744680851064,0.05319148936170213,0.11702127659574468,0.031914893617021274
2024.11.11startup_a,1530,44.99788345382588,73.67423176165137,10.870308723507755,14.7,0.006802721088435374,0.013605442176870748,0.027210884353741496,0.04081632653061224,0.027210884353741496,0.013605442176870748,0.061224489795918366,0.05442176870748299,0.02040816326530612,0.006802721088435374,0.027210884353741496,0.17687074829931973,0.006802721088435374,0.013605442176870748,0.08843537414965986,0.013605442176870748,0.0,0.02040816326530612,0.047619047619047616,0.027210884353741496,0.034013605442176874,0.04081632653061224,0.04081632653061224,0.08163265306122448,0.02040816326530612
2024.11.11startup_a,1620,23.22634612995362,94.29372558612289,3.637033895256578,58.75,0.00851063829787234,0.00851063829787234,0.0,0.04680851063829787,0.029787234042553193,0.01276595744680851,0.06808510638297872,0.02127659574468085,0.029787234042553193,0.00851063829787234,0.03829787234042553,0.16595744680851063,0.03404255319148936,0.00425531914893617,0.04680851063829787,0.0,0.0,0.0,0.03829787234042553,0.00425531914893617,0.0425531914893617,0.05106382978723404,0.05531914893617021,0.06382978723404255,0.01276595744680851
2024.11.11startup_a,1710,22.175582857606337,89.37191562880419,7.076350232345212,35.5,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.02112676056338028,0.02112676056338028,0.028169014084507043,0.056338028169014086,0.04225352112676056,0.02112676056338028,0.007042253521126761,0.04929577464788732,0.1619718309859155,0.007042253521126761,0.02112676056338028,0.07746478873239436,0.007042253521126761,0.0,0.007042253521126761,0.06338028169014084,0.014084507042253521,0.04225352112676056,0.06338028169014084,0.0,0.06338028169014084,0.028169014084507043
2024.11.11startup_a,1800,30.357007732292615,83.19553659343339,6.866909884555077,38.375,0.009771986970684038,0.035830618892508145,0.013029315960912053,0.02280130293159609,0.009771986970684038,0.029315960912052116,0.048859934853420196,0.05537459283387622,0.019543973941368076,0.026058631921824105,0.04560260586319218,0.20521172638436483,0.026058631921824105,0.02280130293159609,0.10749185667752444,0.006514657980456026,0.006514657980456026,0.05537459283387622,0.08143322475570032,0.026058631921824105,0.04560260586319218,0.05537459283387622,0.013029315960912053,0.11726384364820847,0.03257328990228013
2024.11.11startup_a,1890,37.822800349817065,86.01377938744723,5.663950882119537,13.625,0.0,0.05504587155963303,0.009174311926605505,0.03669724770642202,0.03669724770642202,0.027522935779816515,0.10091743119266056,0.01834862385321101,0.01834862385321101,0.03669724770642202,0.045871559633027525,0.22935779816513763,0.01834862385321101,0.009174311926605505,0.027522935779816515,0.045871559633027525,0.009174311926605505,0.0,0.027522935779816515,0.027522935779816515,0.009174311926605505,0.027522935779816515,0.045871559633027525,0.10091743119266056,0.01834862385321101
2024.11.11startup_a,1980,39.02615428865209,82.00570706535547,5.298913816515411,36.6,0.00546448087431694,0.04371584699453552,0.01092896174863388,0.03825136612021858,0.0273224043715847,0.03278688524590164,0.060109289617486336,0.060109289617486336,0.03278688524590164,0.02185792349726776,0.04918032786885246,0.24043715846994534,0.00546448087431694,0.00546448087431694,0.0546448087431694,0.00546448087431694,0.0,0.01092896174863388,0.03825136612021858,0.0273224043715847,0.06557377049180328,0.06557377049180328,0.01639344262295082,0.10382513661202186,0.02185792349726776
2024.11.11startup_a,2070,22.142622321974013,89.50141202023966,7.389080780698739,33.5,0.009950248756218905,0.024875621890547265,0.004975124378109453,0.024875621890547265,0.014925373134328358,0.01990049751243781,0.04477611940298507,0.029850746268656716,0.03980099502487562,0.014925373134328358,0.009950248756218905,0.15920398009950248,0.009950248756218905,0.014925373134328358,0.07960199004975124,0.01990049751243781,0.0,0.03482587064676617,0.07462686567164178,0.009950248756218905,0.04975124378109453,0.03980099502487562,0.03482587064676617,0.12935323383084577,0.009950248756218905
2024.11.11startup_a,2160,48.1447095256217,63.17301729394732,10.736672822443685,10.222222222222221,0.021739130434782608,0.021739130434782608,0.03260869565217391,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.043478260869565216,0.010869565217391304,0.03260869565217391,0.010869565217391304,0.07608695652173914,0.18478260869565216,0.03260869565217391,0.0,0.05434782608695652,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.043478260869565216,0.021739130434782608,0.07608695652173914,0.08695652173913043,0.03260869565217391,0.13043478260869565,0.0
2024.11.11startup_a,2250,42.31265002553897,82.21173986615207,6.535006870869934,17.166666666666668,0.02912621359223301,0.019417475728155338,0.019417475728155338,0.019417475728155338,0.009708737864077669,0.038834951456310676,0.019417475728155338,0.009708737864077669,0.038834951456310676,0.0,0.019417475728155338,0.1262135922330097,0.009708737864077669,0.0,0.038834951456310676,0.019417475728155338,0.0,0.0,0.07766990291262135,0.009708737864077669,0.06796116504854369,0.04854368932038835,0.038834951456310676,0.06796116504854369,0.009708737864077669
2024.11.11startup_a,2340,49.22683948511462,54.30857966391808,14.1315114753897,10.5,0.006802721088435374,0.006802721088435374,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.034013605442176874,0.02040816326530612,0.006802721088435374,0.06802721088435375,0.21768707482993196,0.013605442176870748,0.0,0.034013605442176874,0.013605442176870748,0.006802721088435374,0.0,0.027210884353741496,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.034013605442176874,0.08163265306122448,0.02040816326530612
2024.11.11startup_a,2430,33.6157765965236,86.05317665711102,5.887852838494535,18.75,0.0,0.013333333333333334,0.013333333333333334,0.03333333333333333,0.02666666666666667,0.02666666666666667,0.06,0.03333333333333333,0.02,0.02,0.02,0.15333333333333332,0.013333333333333334,0.013333333333333334,0.06666666666666667,0.02,0.0,0.02,0.06666666666666667,0.04666666666666667,0.04666666666666667,0.02666666666666667,0.0,0.11333333333333333,0.02
2024.11.11startup_a,2520,26.172346618698587,94.95022767812156,4.014106919503117,80.66666666666667,0.02066115702479339,0.012396694214876033,0.028925619834710745,0.04132231404958678,0.03305785123966942,0.01652892561983471,0.05785123966942149,0.0371900826446281,0.045454545454545456,0.008264462809917356,0.05785123966942149,0.2066115702479339,0.01652892561983471,0.01652892561983471,0.11983471074380166,0.008264462809917356,0.0,0.04132231404958678,0.049586776859504134,0.004132231404958678,0.06198347107438017,0.08264462809917356,0.008264462809917356,0.11570247933884298,0.012396694214876033
2024.11.11startup_a,2610,32.18795756839346,88.56100942693115,6.75345862355305,22.4,0.004464285714285714,0.022321428571428572,0.03125,0.026785714285714284,0.026785714285714284,0.049107142857142856,0.06696428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.049107142857142856,0.23214285714285715,0.017857142857142856,0.017857142857142856,0.11160714285714286,0.004464285714285714,0.004464285714285714,0.03571428571428571,0.10267857142857142,0.004464285714285714,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.16517857142857142,0.03125
2024.11.11startup_a,2700,31.175534356381842,83.80185552466781,8.870849309525948,20.1,0.009950248756218905,0.004975124378109453,0.05970149253731343,0.03980099502487562,0.024875621890547265,0.01990049751243781,0.06965174129353234,0.06467661691542288,0.024875621890547265,0.014925373134328358,0.04477611940298507,0.19900497512437812,0.04477611940298507,0.004975124378109453,0.12935323383084577,0.004975124378109453,0.029850746268656716,0.024875621890547265,0.1044776119402985,0.009950248756218905,0.029850746268656716,0.03980099502487562,0.004975124378109453,0.12437810945273632,0.01990049751243781
2024.11.11startup_a,2790,38.70911769145344,78.14358296523761,8.774224646376155,10.923076923076923,0.0,0.0,0.04225352112676056,0.014084507042253521,0.007042253521126761,0.035211267605633804,0.014084507042253521,0.04929577464788732,0.028169014084507043,0.0,0.056338028169014086,0.14788732394366197,0.028169014084507043,0.014084507042253521,0.07746478873239436,0.028169014084507043,0.0,0.007042253521126761,0.06338028169014084,0.02112676056338028,0.028169014084507043,0.035211267605633804,0.0,0.09859154929577464,0.08450704225352113
2024.11.11startup_a,2880,34.411404484860235,82.0472236331289,8.448490146132203,20.6,0.0,0.02912621359223301,0.02912621359223301,0.06796116504854369,0.038834951456310676,0.05825242718446602,0.06796116504854369,0.038834951456310676,0.009708737864077669,0.0,0.02912621359223301,0.1941747572815534,0.0,0.019417475728155338,0.0970873786407767,0.038834951456310676,0.019417475728155338,0.009708737864077669,0.10679611650485436,0.009708737864077669,0.06796116504854369,0.06796116504854369,0.0,0.17475728155339806,0.02912621359223301
2024.11.11startup_a,2970,49.656756223315156,70.78141612119465,9.898163540518864,15.545454545454545,0.0,0.005847953216374269,0.023391812865497075,0.04678362573099415,0.03508771929824561,0.011695906432748537,0.08187134502923976,0.04093567251461988,0.029239766081871343,0.023391812865497075,0.04678362573099415,0.22807017543859648,0.023391812865497075,0.011695906432748537,0.15204678362573099,0.0,0.0,0.005847953216374269,0.05263157894736842,0.017543859649122806,0.05263157894736842,0.04093567251461988,0.017543859649122806,0.14035087719298245,0.017543859649122806
2024.11.11startup_a,3150,46.086374902299305,66.9938900955927,7.444603120096947,13.666666666666666,0.008130081300813009,0.016260162601626018,0.032520325203252036,0.07317073170731707,0.032520325203252036,0.024390243902439025,0.056910569105691054,0.04065040650406504,0.04878048780487805,0.008130081300813009,0.06504065040650407,0.21138211382113822,0.06504065040650407,0.024390243902439025,0.0975609756097561,0.0,0.0,0.008130081300813009,0.056910569105691054,0.016260162601626018,0.08943089430894309,0.0975609756097561,0.0,0.16260162601626016,0.024390243902439025
2024.11.11startup_a,3240,55.152151081293475,78.57408528570214,7.512378327557812,19.5,0.0,0.01282051282051282,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.02564102564102564,0.08974358974358974,0.038461538461538464,0.038461538461538464,0.02564102564102564,0.00641025641025641,0.1858974358974359,0.00641025641025641,0.019230769230769232,0.10897435897435898,0.00641025641025641,0.0,0.01282051282051282,0.09615384615384616,0.019230769230769232,0.057692307692307696,0.04487179487179487,0.01282051282051282,0.1282051282051282,0.01282051282051282
2024.11.11startup_a,3330,54.66936857592801,70.6124801342566,9.619450901471648,23.0,0.013043478260869565,0.013043478260869565,0.013043478260869565,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.06521739130434782,0.05217391304347826,0.04782608695652174,0.004347826086956522,0.1,0.2391304347826087,0.017391304347826087,0.004347826086956522,0.06086956521739131,0.030434782608695653,0.0,0.0,0.08260869565217391,0.004347826086956522,0.0391304347826087,0.043478260869565216,0.021739130434782608,0.14782608695652175,0.008695652173913044
2024.11.11startup_a,3420,58.00238453950557,52.2580784945545,12.003668029832895,11.705882352941176,0.005025125628140704,0.02512562814070352,0.03015075376884422,0.04020100502512563,0.03015075376884422,0.035175879396984924,0.04522613065326633,0.03015075376884422,0.035175879396984924,0.0,0.035175879396984924,0.1507537688442211,0.035175879396984924,0.010050251256281407,0.11055276381909548,0.020100502512562814,0.005025125628140704,0.010050251256281407,0.08542713567839195,0.02512562814070352,0.04020100502512563,0.04522613065326633,0.010050251256281407,0.1306532663316583,0.010050251256281407
2024.11.11startup_a,3510,40.57548602328209,80.59534828672432,4.853205594821985,26.0,0.0,0.019230769230769232,0.038461538461538464,0.03205128205128205,0.01282051282051282,0.04487179487179487,0.07051282051282051,0.02564102564102564,0.019230769230769232,0.0,0.019230769230769232,0.17307692307692307,0.00641025641025641,0.00641025641025641,0.10256410256410256,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.10256410256410256,0.00641025641025641,0.057692307692307696,0.057692307692307696,0.019230769230769232,0.14743589743589744,0.019230769230769232
2024.11.11startup_a,3600,45.88039162570615,82.2990643786731,7.419248450939889,22.11111111111111,0.020100502512562814,0.010050251256281407,0.010050251256281407,0.05025125628140704,0.035175879396984924,0.010050251256281407,0.05527638190954774,0.020100502512562814,0.07035175879396985,0.02512562814070352,0.04020100502512563,0.19095477386934673,0.02512562814070352,0.01507537688442211,0.10050251256281408,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.05025125628140704,0.0,0.04020100502512563,0.04020100502512563,0.0,0.11557788944723618,0.020100502512562814
2024.11.11startup_a,3690,36.13149541082237,79.76137164273476,7.432809146136259,27.22222222222222,0.012244897959183673,0.02857142857142857,0.0163265306122449,0.053061224489795916,0.02857142857142857,0.012244897959183673,0.07755102040816327,0.012244897959183673,0.024489795918367346,0.004081632653061225,0.0653061224489796,0.19183673469387755,0.02040816326530612,0.02040816326530612,0.09387755102040816,0.012244897959183673,0.012244897959183673,0.0326530612244898,0.06938775510204082,0.012244897959183673,0.06938775510204082,0.0653061224489796,0.0,0.10612244897959183,0.024489795918367346
2024.11.11startup_a,3780,50.41674834551338,71.2101212623148,9.11801152953458,17.636363636363637,0.0,0.015463917525773196,0.015463917525773196,0.041237113402061855,0.02577319587628866,0.030927835051546393,0.04639175257731959,0.03608247422680412,0.02577319587628866,0.010309278350515464,0.06701030927835051,0.19072164948453607,0.030927835051546393,0.005154639175257732,0.08762886597938144,0.015463917525773196,0.005154639175257732,0.005154639175257732,0.05154639175257732,0.030927835051546393,0.030927835051546393,0.030927835051546393,0.010309278350515464,0.12886597938144329,0.010309278350515464
2024.11.11startup_a,3870,34.01527379360273,87.03004799006688,5.893767450864008,28.0,0.004464285714285714,0.017857142857142856,0.013392857142857142,0.017857142857142856,0.008928571428571428,0.04017857142857143,0.044642857142857144,0.044642857142857144,0.049107142857142856,0.004464285714285714,0.03571428571428571,0.18303571428571427,0.017857142857142856,0.022321428571428572,0.11160714285714286,0.013392857142857142,0.0,0.013392857142857142,0.10267857142857142,0.022321428571428572,0.06696428571428571,0.06696428571428571,0.013392857142857142,0.10714285714285714,0.017857142857142856
2024.11.11startup_a,3960,20.681606011176225,88.64795114651353,5.158589478230396,37.5,0.0,0.0,0.022222222222222223,0.017777777777777778,0.02666666666666667,0.017777777777777778,0.05333333333333334,0.03111111111111111,0.035555555555555556,0.0,0.04888888888888889,0.17777777777777778,0.017777777777777778,0.008888888888888889,0.07555555555555556,0.04888888888888889,0.0,0.022222222222222223,0.07555555555555556,0.013333333333333334,0.04,0.035555555555555556,0.022222222222222223,0.13777777777777778,0.022222222222222223
2024.11.11startup_a,4050,30.617023549076414,85.06120717648623,5.184038915431202,21.285714285714285,0.020134228187919462,0.013422818791946308,0.03355704697986577,0.026845637583892617,0.020134228187919462,0.026845637583892617,0.06040268456375839,0.040268456375838924,0.053691275167785234,0.020134228187919462,0.053691275167785234,0.24161073825503357,0.03355704697986577,0.013422818791946308,0.10067114093959731,0.006711409395973154,0.0,0.013422818791946308,0.06040268456375839,0.006711409395973154,0.053691275167785234,0.06040268456375839,0.026845637583892617,0.14093959731543623,0.040268456375838924
