mid,bin,entropy_g,det_g,rmse_g,gini_words,gini_turns,part_entropy,top_share,turnlen_disp,n_active,net_central,eig_central,inout_asym
2024.10.14startup_b,1080,73.58914131383409,36.29829885213314,12.693042358770471,0.1826923076923077,0.2272727272727273,1.9105388846757418,0.34615384615384615,0.16172460804362676,4,0.3333333333333333,0.6150099236776777,0.3333333333333333
2024.10.14startup_b,1170,49.57660516762769,71.37411155410537,9.771513118880724,0.24577572964669736,0.1777777777777778,1.3513405109358567,0.4608294930875576,0.2193497845671757,3,0.7857142857142857,0.6922506750796896,0.2857142857142857
2024.10.14startup_b,1350,38.856065999824594,75.92095671513486,5.964885330302838,0.034482758620689724,0.0,0.9965663713274553,0.5344827586206896,0.0344827586206895,2,,0.7071067811865476,0.1111111111111111
2024.10.14startup_b,1440,53.3137627785212,49.56157429795221,8.070347295888796,0.4338235294117647,0.31666666666666665,1.418831884243139,0.4852941176470588,0.29150197628458496,4,0.7142857142857142,0.6940761245916779,0.2857142857142857
2024.10.14startup_b,1530,51.1062072362828,64.60807608397936,13.031875293646227,0.29694323144104806,0.14285714285714302,1.3141673259936102,0.5283842794759825,0.26255204506490326,3,0.5384615384615383,0.6712372538261642,0.07692307692307693
2024.10.14startup_b,1620,60.72849594774835,41.54722413930261,10.21441780150085,0.34748427672955984,0.125,1.6967367414432388,0.5283018867924528,0.3077330508474576,4,0.26315789473684204,0.5793319571377923,0.3684210526315789
2024.10.14startup_b,1710,50.994024018148096,52.69254307200933,9.845214094216331,0.5357142857142858,0.25,1.2408925282849117,0.6847290640394089,0.383125972006221,4,0.6000000000000001,0.6564303653822274,0.2
2024.10.14startup_b,1800,48.19616769309344,63.48923719913549,6.744076905407965,0.30474452554744524,0.25,1.6839650789797005,0.3795620437956204,0.2934782608695652,4,0.75,0.6713007312598105,0.25
2024.10.14startup_b,1890,48.256039379629016,78.16235757497293,9.23834189597268,0.467479674796748,0.33333333333333326,1.4333183737628137,0.6422764227642277,0.20842956120092393,4,0.8181818181818181,0.6959830513705269,0.2727272727272727
2024.10.14startup_b,1980,64.08945177749456,59.223970392245064,14.330630782842958,0.36491935483870974,0.17105263157894735,1.6327747483739468,0.4798387096774194,0.3023843930635839,4,0.375,0.6298023250208004,0.25
2024.10.14startup_b,2070,37.42315552424505,82.888722687171,11.60616970739794,0.5233644859813085,0.20000000000000018,0.8065759455206803,0.822429906542056,0.4227642276422765,3,0.25,0.6279630301995545,0.0
2024.10.14startup_b,2160,48.371280145939636,74.55149461895482,6.281987222626772,0.3310185185185186,0.11111111111111116,1.268582123193732,0.5694444444444444,0.33041788143828965,3,0.4545454545454547,0.65068015913643,0.09090909090909091
2024.10.14startup_b,2250,34.50597852448773,84.60378249070999,5.109334466110861,0.502883506343714,0.25,0.8782626523281248,0.7854671280276817,0.3816183816183818,3,1.0,0.7071067811865475,0.14285714285714285
2024.10.14startup_b,2340,48.80305977595808,70.6837582497667,8.032649887987892,0.3198689956331877,0.29166666666666674,1.7269559850151242,0.4585152838427948,0.446097096620657,4,0.6363636363636365,0.68077159571026,0.6363636363636364
2024.10.14startup_b,2430,45.224193779366345,81.21980252857936,8.334826261390344,0.45196078431372544,0.21666666666666656,1.4585828689175158,0.6431372549019608,0.3283132530120483,4,0.3846153846153845,0.6000942003776355,0.38461538461538464
2024.10.14startup_b,2520,58.313421973283056,68.72054087699,7.632819577525312,0.5056179775280898,0.2954545454545454,1.306274733398217,0.702247191011236,0.30211267605633796,4,0.6000000000000001,0.70288460293706,0.0
2024.10.14startup_b,2610,35.09114922955521,84.28329102824814,7.466267135349849,0.5067873303167421,0.12121212121212133,0.8169791847631767,0.832579185520362,0.4269561284486658,3,0.33333333333333337,0.634577460311561,0.1111111111111111
2024.10.14startup_b,2700,58.35558087135502,56.72897194891513,10.442764228183485,0.20249221183800636,0.1333333333333333,1.4688585430395522,0.5280373831775701,0.25886864813039323,3,0.6842105263157896,0.678589474229409,0.05263157894736842
2024.10.14startup_b,2790,59.14114780901876,62.66326163115298,9.858244881011188,0.39574898785425106,0.22916666666666674,1.5928241371156402,0.4979757085020243,0.26111111111111107,4,0.3333333333333333,0.6202569272077557,0.14285714285714285
2024.10.14startup_b,2880,45.639589930944084,79.43460763030563,5.935250143125558,0.2648401826484019,0.14814814814814814,1.3663762749774953,0.5,0.24220623501199046,3,0.6470588235294117,0.6782834161308221,0.058823529411764705
2024.10.14startup_b,2970,42.704431493894205,77.01473985284109,7.481860478190713,0.47444444444444445,0.3214285714285714,1.2319102293880217,0.49777777777777776,0.39036312849162,4,0.5384615384615385,0.6847880309828948,0.23076923076923078
2024.10.14startup_b,3060,43.33702581784808,87.7021867465828,6.3090015720268635,0.2112482853223594,0.09523809523809534,1.4637781310258515,0.5308641975308642,0.11333333333333351,3,0.5000000000000001,0.6581030875614606,0.3333333333333333
2024.10.14startup_b,3150,42.6810460921168,75.97905468386776,8.472028866776636,0.34523809523809534,0.06666666666666665,1.1055134468321812,0.5357142857142857,0.329896907216495,3,0.0,0.5773502691896258,0.3333333333333333
2024.10.14startup_b,3240,44.684908808005076,84.64515332198818,6.970009139344629,0.3398058252427185,0.16666666666666674,1.184177943083117,0.5485436893203883,0.343366778149387,3,0.5000000000000001,0.6581030875614606,0.6666666666666666
2024.10.14startup_b,3330,59.63712998273791,60.43538773580325,8.214278240180231,0.28781512605042026,0.1785714285714286,1.8003624303686592,0.4369747899159664,0.18397663788725271,4,0.3846153846153846,0.6445991732948296,0.38461538461538464
