mid,team,dt,mean_entropy,mean_det,mean_rmse,reorg_rate,gini_words,top_share,turnlen_disp,part_entropy,net_central,eig_central,sem_rec,turn_len,coh,week,gap_days
2025.03.02startup_a,startup_a,2025-03-02,28.35486065981398,87.02394887152992,5.603259386278183,2.7302441838108056,0.3583476091030153,0.7062865629531855,0.3069370975195343,0.9406707825520211,0.4571428571428571,0.6312774354143557,23.61829780197127,31.340278882115616,0.08971798163074338,12,6.0
2025.03.17startup_a,startup_a,2025-03-17,30.29261976517391,86.02164745659117,5.999509997569453,3.0506523407521104,0.3727376158222046,0.7194180377491081,0.31817350244630177,0.9033685301797264,0.7167138810198301,0.684545226712817,20.879043525242356,33.716100447094604,0.0889171786987928,13,15.0
2025.03.25startup_a,startup_a,2025-03-25,28.964633849099457,87.66582085365212,5.5113212944316405,4.014237690330235,0.3354467833953755,0.6991816451330762,0.28530496846772563,0.8988396877041891,0.675,0.6852466003483254,26.282229301097228,33.24711970419518,0.10722579083098675,14,8.0
2025.03.31startup_a,startup_a,2025-03-31,31.50189907125147,85.10643726819335,6.148102990379254,2.6627218934911245,0.3222167477380222,0.6808991512762032,0.2682695824730672,0.9587977640365495,0.7345679012345678,0.693793937458768,21.57213157213157,29.790304466775055,0.09808607708444042,15,6.0
2025.04.07startup_a,startup_a,2025-04-07,36.05239789117962,82.89440108056102,6.582625438439945,3.575685339690107,0.29377135624096135,0.7353605558349741,0.2724019173211601,0.7890398109482052,0.7551020408163266,0.6983874580356559,19.34383279850975,27.785901602415585,0.09647149752305054,16,7.0
2025.04.14startup_a,startup_a,2025-04-14,34.28643985530164,87.33061171629585,5.945755952754409,2.700517464424321,0.3730592324685157,0.7401667275980089,0.32816649806401044,0.8458767467418374,0.6310904872389791,0.6721438816541688,20.581577068208084,29.07104244240608,0.0932057166734087,17,7.0
2024.10.14startup_b,startup_b,2024-10-14,42.653317645670874,70.20915706049757,8.634759968963952,3.2408954226528564,0.3838900616201197,0.599206720958809,0.30920703290960405,1.3045423799534173,0.3155339805825244,0.6003606377747907,16.62460291901833,17.425352374456143,0.09145776416258387,1,
2024.10.28startup_b,startup_b,2024-10-28,34.532439357889764,80.72260632777844,7.182234019914661,3.8038411336938283,0.3586599208991314,0.6813470186276425,0.2841500551147848,1.03923749960112,0.3690721649484536,0.6125082347289638,24.58699171199171,29.663371418886125,0.09607975887312449,2,14.0
2024.11.04startup_b,startup_b,2024-11-04,38.68585429182432,80.31846929565677,7.32447270175156,3.2129315505887046,0.34717642121461234,0.6361178419295896,0.29151720385081176,1.1306168681067965,0.4545454545454546,0.6420697686811245,18.408395526042586,26.471621408894134,0.08460069314072734,3,7.0
2024.11.11startup_b,startup_b,2024-11-11,39.02349023028512,76.52525214692541,7.929547904549059,2.5454545454545454,0.3487215135375147,0.6430397187491594,0.27302209066666144,1.1529251800557012,0.2245557350565428,0.5757968218705407,21.30234273718272,27.307650649500847,0.09606167189541703,4,7.0
2024.11.18startup_b,startup_b,2024-11-18,35.52272714114866,80.28166284499014,7.329260044379226,3.3712121212121215,0.3393170961241115,0.6615410877019918,0.2940967618275031,1.083225887782475,0.2314225053078556,0.5873185552325674,22.459285136769925,31.703341486100108,0.0948054274114145,5,7.0
2024.12.02startup_b,startup_b,2024-12-02,50.08657397352948,56.33863601467668,9.994006894257181,2.9071934401789044,0.324633633147231,0.5424188088982569,0.2397213130247153,1.4498704106807938,0.1321585903083699,0.545609323150513,11.35256142169253,11.810874288958924,0.06745020626682001,6,14.0
2024.12.16startup_b,startup_b,2024-12-16,40.06271543483765,75.98139291503786,8.503005988272049,3.2350689127105667,0.36455182634058025,0.6425195853938889,0.2921536561849779,1.1497578490736444,0.2246835443037975,0.58743355094012,15.401473089500206,22.40929229268946,0.0810262917363685,7,14.0
2024.12.23startup_b,startup_b,2024-12-23,33.05969152086926,79.91174519143348,7.836778148854064,3.4115920763022745,0.3441451196143444,0.6955557740089682,0.27857699026612337,0.9737576420458155,0.565040650406504,0.6473810132586041,20.317226385469027,26.590813823652805,0.08989597423581974,8,7.0
2025.01.06startup_b,startup_b,2025-01-06,43.19104771553051,82.89410156468193,6.709324462177818,3.766413268832066,0.30404411357827643,0.6731371800984748,0.256614800901069,1.0148998237423403,0.4407894736842105,0.6526326280847105,24.0717033981976,32.51537732512309,0.10604242004808143,9,14.0
2025.01.13startup_b,startup_b,2025-01-13,29.81886967907249,83.97107947858053,6.741567934603385,3.8598999285203717,0.3650851754509529,0.7201327422485428,0.3176802947038556,0.9309421852991542,0.5058823529411764,0.6561612396342255,21.384568778077906,31.355714223234507,0.09519656671688652,10,7.0
2025.02.10startup_b,startup_b,2025-02-10,48.479797959475114,78.88037137517158,7.837432706039804,3.3762357769072935,0.33176096806090993,0.6769615016040353,0.2882927338456859,1.0079271876980558,0.2813186813186812,0.6332985060394531,17.434885073773962,24.42311448839227,0.08086695190935725,11,28.0
2025.02.24startup_b,startup_b,2025-02-24,31.95847801500829,84.99589421340423,6.63591641547947,2.3462145110410093,0.29361094486935885,0.6870627084096914,0.26595283658842933,0.9370920348476532,0.692722371967655,0.684461770612888,17.77525941741628,31.228416820410285,0.08806326307618277,12,14.0
2025.03.17startup_b,startup_b,2025-03-17,37.807667857625354,74.64742480175411,8.034780111003148,3.1612390786338365,0.31575406547503004,0.6527506923321081,0.2534961302458512,1.0894281981175298,0.4670571010248903,0.6334944202040789,18.29742700337765,26.13854194424275,0.09729292089327839,13,21.0
2025.03.24startup_b,startup_b,2025-03-24,40.662603391302575,72.90365701936064,8.545997079377209,3.4119225608587307,0.31808533129006883,0.6065427570379517,0.26332236069908876,1.246980337992939,0.3686200378071833,0.6175753312675486,13.283422404663005,18.58809828564293,0.08077758306683037,14,7.0
2025.03.31startup_b,startup_b,2025-03-31,27.603859288519832,87.1885341384439,5.752020413209131,3.9412797191638744,0.3564010267999151,0.7244500298548657,0.3147169655058799,0.8508497075659806,0.5090439276485788,0.6492865912002859,22.470110534626663,35.966619267828946,0.09918621548936223,15,7.0
2025.04.07startup_b,startup_b,2025-04-07,41.426015534983094,72.44407270210058,9.15169185650981,2.8175591531755915,0.35161262354941303,0.6502406120536516,0.2793022259281476,1.1263565830801356,0.5353260869565217,0.6456195813553101,16.008886400352846,20.695272491937775,0.08038676222035977,16,7.0
2025.04.14startup_b,startup_b,2025-04-14,31.695289029835696,85.7036625329863,6.4336114275308285,3.57212191807416,0.34238840839349194,0.6751912991147945,0.268375806375011,1.0121445182647195,0.6387434554973821,0.673276964220493,22.798051621581035,32.58667552491082,0.09866097989557758,17,7.0
