mid,cls,entropy,det,rmse_z,entropy_z,det_z,rmse_z_z
2024.10.28startup_b,INT_HANDOFF,50.33916934560249,69.13444026177375,2.6200125956998215,0.6046220847177282,-0.03830387428619615,-0.66246186465411
2024.10.28startup_b,TRANSITION,45.78263291908836,80.3996985580066,3.492669887308037,0.052419333594706775,0.9019392589351692,0.8671203029717608
2024.10.28startup_b,TRANSITION,61.68553604186169,64.35658188309569,3.1009009797080185,1.9796785571002427,-0.43708288262535433,0.18043293937807026
2024.10.28startup_b,TRANSITION,57.67351627086716,58.800974410136675,2.825116596531263,1.49346531359107,-0.9007759147744537,-0.3029582826668038
2024.10.28startup_b,TRANSITION,46.36057637557617,76.9477149075436,2.771380409534899,0.12245980661914208,0.6138230135734771,-0.39714636105250406
2024.10.28startup_b,INT_HANDOFF,54.54252011202411,68.16434968775191,3.059178562998207,1.1140225678668945,-0.11927148078411579,0.10730243877573892
2024.10.28startup_b,TRANSITION,41.08414464135122,58.09181379835253,2.4114882400329347,-0.516986440929208,-0.9599652718266642,-1.0279605993933156
2024.10.28startup_b,INT_HANDOFF,38.64562937045994,73.50613847040279,4.177158146108687,-0.8125080203038764,0.32657539550863424,2.0668822767487525
2024.10.28startup_b,INT_OTHER,48.04363729524395,37.523958331127446,2.734531960131238,0.3264285195081982,-2.676640057225492,-0.4617338361753365
2024.10.28startup_b,INT_OTHER,48.1648010492898,64.7385545538107,2.3949650836119374,0.3411122511977303,-0.4052019286983486,-1.0569221695967501
2024.10.28startup_b,INT_HANDOFF,38.516580361535816,65.01861869607112,2.3620980740357482,-0.8281473592857703,-0.38182666470551635,-1.114531029609001
2024.10.28startup_b,INT_HANDOFF,52.168913900934776,63.61457672562612,3.641367093197541,0.8263672619158023,-0.49901357571553373,1.1277548002613227
2024.10.28startup_b,TRANSITION,44.31581173495582,51.6574920286575,2.843122147660221,-0.1253434707516574,-1.496999283990911,-0.2713983906106966
2024.10.28startup_b,TRANSITION,56.185499384106684,67.24795888281663,2.934133498481277,1.3131338201774951,-0.19575709159125768,-0.1118748977044713
2024.10.28startup_b,TRANSITION,38.09072597326719,55.17295888102345,2.7222822105515636,-0.8797562882545765,-1.2035844788363994,-0.4832050353449696
2024.10.28startup_b,INT_HANDOFF,34.38689337001723,80.31218740951965,2.635355630668468,-1.3286205925784749,0.8946352314302971,-0.6355687957357816
2024.10.28startup_b,INT_HANDOFF,38.31714232156956,80.67798811555733,3.2600113612378907,-0.8523170847173742,0.9251664090504735,0.4593195133087499
2024.10.28startup_b,TRANSITION,48.116403346240794,60.31527125165437,2.711428430907559,0.33524697497252925,-0.7743866949753886,-0.502229396860605
2024.10.28startup_b,TRANSITION,40.809654165021065,82.90027024270584,4.348690708631566,-0.5502517069116287,1.1106468885198786,2.3675422853514876
2024.10.28startup_b,TRANSITION,47.69016226697106,57.8930713539843,3.0716301828428727,0.28359118325213706,-0.9765531044074184,0.12912747347791606
2024.10.28startup_b,INT_HANDOFF,54.56130767064868,72.60863122135326,3.501075313064137,1.1162994160226574,0.2516658811642176,0.8818532221503078
2024.10.28startup_b,TRANSITION,55.556814633039394,61.21601854600108,2.71219856840954,1.2369440530753726,-0.6992067536010812,-0.5008795100253283
2024.10.28startup_b,TRANSITION,39.629112812652394,72.78216927794358,2.6571396626469004,-0.6933205033771035,0.26615005558533944,-0.5973860323834053
2024.10.28startup_b,TRANSITION,50.746528104848935,65.34864448569604,2.3549125354355267,0.653989544229521,-0.35428140348549064,-1.1271257467028457
2024.10.28startup_b,TRANSITION,42.82855621239046,78.91096453598624,2.819152602730726,-0.305582695089822,0.7776836134285089,-0.3134118921797901
2024.10.28startup_b,TRANSITION,55.09066299819562,53.21247240728536,3.5842773084047623,1.180451535270977,-1.3672144548416563,1.0276885799794697
