metric,cat,mpk,mbase,lift
rmse_g,cumul,0.9281767955801105,1.0550797975866095,-0.12690300200649907
rmse_g,nonarg,0.9779005524861878,0.7316076294277929,0.2462929230583949
rmse_g,qset,0.5138121546961326,0.4490073958738809,0.06480475882225173
rmse_g,qprop,1.022099447513812,0.7364733359283768,0.28562611158543527
rmse_g,feedback,0.8729281767955801,0.7242117555469054,0.14871642124867468
rmse_g,namep,0.9779005524861878,0.8063448812767614,0.17155567120942639
rmse_g,names,0.9171270718232044,0.9311015959517321,-0.013974524128527732
rmse_g,proact,1.1215469613259668,1.3927598287271312,-0.27121286740116446
rmse_g,struct,0.8066298342541437,1.0593616193071234,-0.25273178505297966
rmse_g,arguable,2.348314606741573,3.022736181889455,-0.6744215751478819
rmse_g,disagree,0.1404494382022472,0.1715013720109761,-0.031051933808728893
rmse_g,iam2,0.1404494382022472,0.18914151313210506,-0.04869207492985786
rmse_g,explor,0.8595505617977528,1.2753822030576245,-0.4158316412598717
rmse_g,bdisagree,0.02247191011235955,0.10505684045472363,-0.08258493034236408
rmse_g,converge,1.9382022471910112,1.7787142297138376,0.15948801747717356
rmse_g,bagree,1.5786516853932584,1.1562132497059976,0.4224384356872608
rmse_g,baskinfo,1.0168539325842696,0.5525284202273618,0.4643255123569078
rmse_g,cumul,1.0730337078651686,1.109172873382987,-0.03613916551781848
rmse_g,nonarg,2.0224719101123596,1.128969031752254,0.8935028783601056
rmse_g,qset,0.5730337078651685,0.6679733437867503,-0.09493963592158183
rmse_g,qprop,1.5730337078651686,0.9212073696589572,0.6518263382062114
rmse_g,feedback,1.5224719101123596,1.1522932183457468,0.3701786917666128
rmse_g,namep,0.2808988764044944,0.7840062720501764,-0.503107395645682
rmse_g,names,0.9101123595505618,0.9031752254018032,0.006937134148758628
rmse_g,proact,1.0842696629213484,1.2851822814582516,-0.20091261853690323
rmse_g,struct,1.4101123595505618,0.9327714621716974,0.4773408973788644
rmse_g,arguable,2.7948717948717947,2.944337811900192,-0.14946601702839724
