mid,stage,dur_s,entropy,det,rmse,reorg_rate,secs
2024.10.28startup_b,ids,3398.0,34.54359464722482,80.39536215143157,6.965305478997839,3.6492054149499706,3398
2024.10.28startup_b,conclude,203.0,40.57456343268016,85.2658258296812,6.954718613655299,0.5882352941176471,170
2024.11.04startup_a,segue,491.0,28.47173633691818,85.45987733746821,8.100828134079341,10.79429735234216,491
2024.11.04startup_a,scorecard,242.0,20.482271546433573,93.29648897062927,4.902346316412766,1.2396694214876034,242
2024.11.04startup_a,rock_review,50.0,34.2173176922726,91.567776657457,5.95878900082784,0.0,50
2024.11.04startup_a,ids,4104.0,29.88031232019861,87.04100079141801,5.766396947514508,2.7777777777777777,4104
2024.11.04startup_a,conclude,195.0,21.196415059032073,93.36991811273408,4.111252335580173,0.0,163
2024.11.04startup_b,segue,310.0,38.41976702088343,77.96814541248767,10.960582421179602,16.7741935483871,310
2024.11.04startup_b,scorecard,558.0,49.47296952671303,74.76454768431918,7.67540415756707,1.0752688172043012,558
2024.11.04startup_b,rock_review,76.0,38.459696705651965,74.42321261286737,8.198867940911528,1.3157894736842104,76
2024.11.04startup_b,ids,3752.0,37.117411725758615,81.41736708400731,6.904474910986724,2.185501066098081,3752
2024.11.04startup_b,todo,158.0,39.73701866821085,75.6925781985584,9.717587794075996,12.025316455696203,158
2024.11.04startup_b,conclude,151.0,39.860927908240285,87.18441129437271,6.740674563357126,0.847457627118644,118
2024.11.11startup_a,segue,885.0,27.065323417076147,89.68008681878618,6.367719525531072,2.937853107344633,885
2024.11.11startup_a,scorecard,140.0,10.329532057826466,97.95462326960691,3.549635193316809,0.0,140
2024.11.11startup_a,rock_review,82.0,41.10576469526955,85.1111150231024,5.208727134650876,0.0,82
2024.11.11startup_a,todo,1444.0,35.91617962710314,81.92376309201269,7.420589457761388,4.224376731301939,1444
2024.11.11startup_a,ids,2370.0,38.88387190582361,80.6807473548494,6.863637895785651,2.151898734177215,2370
2024.11.11startup_a,conclude,178.0,36.73832965225277,83.07321247697877,5.995643071821525,0.0,145
2024.11.11startup_b,segue,261.0,33.686346826319365,82.35572105143669,10.632912523025762,6.896551724137931,261
2024.11.11startup_b,scorecard,173.0,61.70301060066327,31.64081478686933,14.562911322166077,16.76300578034682,173
2024.11.11startup_b,rock_review,196.0,39.47189239226939,82.64960937981294,8.436244600701636,4.591836734693878,196
2024.11.11startup_b,todo,661.0,49.77918277822917,68.37185697192467,9.432657716706416,5.900151285930408,661
2024.11.11startup_b,ids,3768.0,35.00401247398632,80.33659882094912,7.004899801598099,0.9023354564755839,3768
2024.11.11startup_b,conclude,413.0,51.37474502767445,70.83501011897403,9.395370603871894,0.7874015748031495,381
2024.11.18startup_a,segue,238.0,32.07424298647508,86.63256776231879,7.915197938216115,9.606986899563319,229
2024.11.18startup_a,scorecard,284.0,8.826431908319101,95.99442042735048,3.3327051333677753,0.0,284
2024.11.18startup_a,rock_review,167.0,35.75075605960413,90.62966556699864,5.135000919971325,0.0,167
2024.11.18startup_a,todo,434.0,32.39371110390238,86.45976872895305,5.8705992945988115,0.0,434
2024.11.18startup_a,ids,4100.0,26.48258220644623,88.54314918087071,5.2592650715290326,3.8536585365853657,4100
2024.11.18startup_a,conclude,139.0,44.84593526651776,71.29066138151818,7.260403586722019,0.9523809523809524,105
2024.11.18startup_b,segue,219.0,42.71451359838325,74.26544490554376,12.12108132700236,4.10958904109589,219
2024.11.18startup_b,scorecard,381.0,49.487203434782124,67.96440815260493,10.776136830354218,10.761154855643044,381
2024.11.18startup_b,todo,2090.0,37.86655676191995,75.69420955086842,7.931115580782215,4.2105263157894735,2090
2024.11.18startup_b,ids,2162.0,29.580269353042777,88.56756415528614,5.5886269260430605,0.8788159111933395,2162
2024.11.18startup_b,conclude,396.0,37.94104337997133,77.03097586671454,8.105344311479303,3.8567493112947657,363
2024.12.02startup_b,segue,500.0,35.759669217576615,75.09531923409511,9.957362573992821,3.389830508474576,472
2024.12.02startup_b,scorecard,311.0,34.330072062510375,73.31471637762036,10.883823401163786,4.501607717041801,311
2024.12.02startup_b,headlines,345.0,49.383915509441685,62.332029535843205,7.780696784105897,0.0,345
2024.12.02startup_b,rock_review,51.0,31.196543305166614,91.90641110315823,8.851583484594597,7.8431372549019605,51
2024.12.02startup_b,todo,656.0,60.87336512408697,40.879285443510895,11.439573494653196,6.707317073170732,656
2024.12.02startup_b,ids,3430.0,52.06586674252121,53.95870654985976,9.791673720077984,1.9241982507288629,3430
2024.12.02startup_b,conclude,130.0,40.21796685398651,59.21090603696174,13.921232169991397,11.881188118811881,101
2024.12.09startup_a,segue,532.0,18.67511606637261,93.77024734506863,4.068667958790104,0.5639097744360901,532
2024.12.09startup_a,scorecard,257.0,25.095100238412684,84.83396457975013,8.410418721407085,13.229571984435799,257
2024.12.09startup_a,rock_review,235.0,43.7028186691493,62.84764671207859,11.342879189459126,14.468085106382977,235
2024.12.09startup_a,headlines,235.0,35.95262918288535,79.34840962156616,8.646597299589653,7.234042553191489,235
