mid,bin,entropy_g,det_g,rmse_g,liwc_lsm,liwc_posemo,liwc_negemo,liwc_cogproc
2024.10.14startup_b,990,54.70379671632037,73.3964477442759,10.025725398321825,0.5606283475935926,0.07874610192239373,0.007936507936507936,0.14048256779446205
2024.10.14startup_b,1080,73.58914131383409,36.29829885213314,12.693042358770471,0.5516733960424731,0.019588744588744586,0.007949850055113212,0.1909439144255474
2024.10.14startup_b,1170,49.57660516762769,71.37411155410537,9.771513118880724,0.37639462353583486,0.052815485168426345,0.011794871794871795,0.3280733318968613
2024.10.14startup_b,1350,38.856065999824594,75.92095671513486,5.964885330302838,0.5358829126949083,0.011937927663734115,0.002127659574468085,0.1628521490266514
2024.10.14startup_b,1440,53.3137627785212,49.56157429795221,8.070347295888796,0.6476465560505993,0.0026666666666666666,0.0030303030303030303,0.12806965336747506
2024.10.14startup_b,1530,51.1062072362828,64.60807608397936,13.031875293646227,0.49154714923512965,0.009920634920634922,0.011507936507936507,0.2950766306966935
2024.10.14startup_b,1620,60.72849594774835,41.54722413930261,10.21441780150085,0.47630079115842205,0.09051036682615629,0.0,0.1280916976040815
2024.10.14startup_b,1710,50.994024018148096,52.69254307200933,9.845214094216331,0.4051259801067112,0.05966807396035338,0.0013020833333333333,0.1889596640781819
2024.10.14startup_b,1800,48.19616769309344,63.48923719913549,6.744076905407965,0.5300854349877656,0.06365640532307199,0.015873015873015872,0.17055475388808722
2024.10.14startup_b,1890,48.256039379629016,78.16235757497293,9.23834189597268,0.603715331864771,0.027093776106934003,0.0021929824561403508,0.19254860636439583
2024.10.14startup_b,1980,64.08945177749456,59.223970392245064,14.330630782842958,0.47084292529906896,0.01585648471310903,0.007511085405822248,0.242656043291252
2024.10.14startup_b,2070,37.42315552424505,82.888722687171,11.60616970739794,0.4700581450867884,0.047526915275393974,0.008443854995579134,0.25483475618364054
2024.10.14startup_b,2160,48.371280145939636,74.55149461895482,6.281987222626772,0.4133706396312642,0.05709831468878699,0.0,0.19863183143442806
2024.10.14startup_b,2250,34.50597852448773,84.60378249070999,5.109334466110861,0.44849680957677385,0.01857707509881423,0.01079699851778656,0.24524454070989393
2024.10.14startup_b,2340,48.80305977595808,70.6837582497667,8.032649887987892,0.42100012142432247,0.0,0.028551963334572033,0.18269588704371312
2024.10.14startup_b,2430,45.224193779366345,81.21980252857936,8.334826261390344,0.451682839556219,0.15277883673187,0.023994708994709,0.18565735329692962
2024.10.14startup_b,2520,58.313421973283056,68.72054087699,7.632819577525312,0.3712738375440402,0.011205073995771671,0.03567488399575608,0.3403134310059008
2024.10.14startup_b,2610,35.09114922955521,84.28329102824814,7.466267135349849,0.3884187411417262,0.0011961722488038277,0.027642453240539367,0.3050536783790372
2024.10.14startup_b,2700,58.35558087135502,56.72897194891513,10.442764228183485,0.4478769684209145,0.053851540616246495,0.01123249299719888,0.2480254404393336
2024.10.14startup_b,2790,59.14114780901876,62.66326163115298,9.858244881011188,0.4547687350258121,0.07708333333333334,0.04311494825333301,0.1687772228947365
2024.10.14startup_b,2880,45.639589930944084,79.43460763030563,5.935250143125558,0.44329965481514616,0.005252847073215958,0.040465756454128546,0.25891214212852814
2024.10.14startup_b,2970,42.704431493894205,77.01473985284109,7.481860478190713,0.3753098055000948,0.07611832611832613,0.032881334351922586,0.1495237488934968
2024.10.14startup_b,3060,43.33702581784808,87.7021867465828,6.3090015720268635,0.5750475847781817,0.012244897959183673,0.01141101601931095,0.23449596902372646
2024.10.14startup_b,3150,42.6810460921168,75.97905468386776,8.472028866776636,0.3789263010520077,0.11008403361344536,0.021813725490196077,0.2943627450980392
2024.10.14startup_b,3240,44.684908808005076,84.64515332198818,6.970009139344629,0.5788299346174925,0.03125194159676918,0.0033783783783783786,0.20208846178673764
2024.10.14startup_b,3330,59.63712998273791,60.43538773580325,8.214278240180231,0.457431368751613,0.059432234432234436,0.007569875776397515,0.2201030385157072
2024.10.14startup_b,3420,50.24677735299148,60.45098026122272,9.617335487116904,0.4298219870942021,0.04862416166763993,0.028817398382615773,0.1772893772893773
2024.10.14startup_b,3510,65.86484295566771,38.63423302985162,8.675153607003692,0.49385547219057413,0.04701116557734205,0.013871313871313871,0.25085887356107944
2024.10.14startup_b,3600,59.057395919439166,56.443281538804484,8.513929031394186,0.5255848875984959,0.01848370927318296,0.02027407034332242,0.2356120706251063
2024.10.14startup_b,3690,50.82975927580746,50.84056067878356,10.039843302989768,0.46548172311975533,0.029166666666666664,0.006818181818181818,0.19069627255298674
2024.10.14startup_b,3780,38.3344613691066,75.21238392973927,9.32514931991721,0.4878140908001894,0.010344827586206896,0.035524475524475525,0.22122165191130705
2024.10.14startup_b,3870,19.623018576353754,92.54674819272239,6.468356033862653,0.426049166769354,0.14016318298496516,0.014475735480964251,0.18951364432617093
2024.10.14startup_b,3960,3.032721446144939,96.47855578966127,4.717072960427064,0.2775394731071958,0.005555555555555556,0.019549929676511955,0.16195499296765117
2024.10.14startup_b,4050,12.826335587658772,93.12918315773368,4.779801954661594,0.28206065913939415,0.27473460308993863,0.004977997799779978,0.14151091035029428
2024.10.14startup_b,4140,55.664268092766115,66.26127400829225,8.373428375894424,0.45824869322725204,0.056918733615648316,0.017777777777777778,0.12661593296802007
2024.10.14startup_b,4230,49.566700967640365,60.33058339889347,10.51798588705632,0.535258151874816,0.05158730158730159,0.001851851851851852,0.187705408017908
2024.10.14startup_b,4320,40.76978239727884,67.37671312060056,11.49341742267738,0.41917198513341525,0.01730072463768116,0.0023148148148148147,0.1819509144237405
2024.10.14startup_b,4410,56.10527399104122,24.513271240940327,12.582631580036756,0.46810005478859346,0.005952380952380952,0.005952380952380952,0.19450113378684802
